# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 0 0
90 0.895 3.73405e-07 5.85938e-09
91 0.905 1.94773e-06 3.71094e-08
92 0.915 1.40522e-05 2.67578e-07
93 0.925 8.75108e-05 1.73438e-06
94 0.935 0.000445124 9.35742e-06
95 0.945 0.00173017 3.9625e-05
96 0.955 0.00585101 0.00014416
97 0.965 0.0163209 0.000441891
98 0.975 0.0397385 0.00118191
99 0.985 0.0847879 0.00279342
100 0.995 0.160587 0.00590786
101 1.005 0.272681 0.0113031
102 1.015 0.421223 0.0198041
103 1.025 0.596693 0.0320848
104 1.035 0.784648 0.0485504
105 1.045 0.965247 0.0691993
106 1.055 1.12314 0.0936877
107 1.065 1.24683 0.121391
108 1.075 1.33099 0.151522
109 1.085 1.37662 0.183269
110 1.095 1.38959 0.215908
111 1.105 1.37604 0.248822
112 1.115 1.34479 0.281573
113 1.125 1.3014 0.313838
114 1.135 1.25287 0.345455
115 1.145 1.20367 0.376369
116 1.155 1.15545 0.406564
117 1.165 1.10977 0.43607
118 1.175 1.0671 0.46493
119 1.185 1.02806 0.49321
120 1.195 0.993758 0.52101
121 1.205 0.961876 0.54837
122 1.215 0.932851 0.575347
123 1.225 0.905393 0.601962
124 1.235 0.881219 0.628291
125 1.245 0.857256 0.654321
126 1.255 0.833788 0.680047
127 1.265 0.809414 0.70542
128 1.275 0.784552 0.730404
129 1.285 0.757264 0.754899
130 1.295 0.727653 0.778804
131 1.305 0.695399 0.802003
132 1.315 0.659059 0.824329
133 1.325 0.619263 0.845626
134 1.335 0.575523 0.86572
135 1.345 0.528674 0.884455
136 1.355 0.480157 0.901724
137 1.365 0.430303 0.91743
138 1.375 0.380773 0.931533
139 1.385 0.331525 0.94399
140 1.395 0.283781 0.954808
141 1.405 0.239445 0.964068
142 1.415 0.198487 0.971853
143 1.425 0.161602 0.978281
144 1.435 0.129365 0.9835
145 1.445 0.101586 0.987655
146 1.455 0.0783177 0.990903
147 1.465 0.059461 0.993403
148 1.475 0.0442239 0.995288
149 1.485 0.0323994 0.996687
150 1.495 0.0233644 0.99771
151 1.505 0.0164708 0.998441
152 1.515 0.0114233 0.998955
