0.018177 0.019283 0.014979 0.018151 0.016756 0.017826  0.040057  0.052467  0.053495
0.020477 0.020644 0.015018 0.018480 0.017244 0.017992  0.046369  0.050088  0.053733
0.018361 0.019253 0.014614 0.018089 0.016019 0.018954  0.042248  0.049611  0.056942
0.018977 0.020217 0.014936 0.017693 0.017141 0.018667  0.040105  0.051308  0.060942
0.019518 0.018665 0.015911 0.018218 0.016737 0.018604  0.043656  0.053287  0.062391
0.017195 0.019832 0.014672 0.017329 0.016964 0.017662  0.043674  0.052463  0.059820
0.018199 0.020472 0.015931 0.016830 0.017083 0.019436  0.048757  0.061192  0.067717
0.018736 0.019532 0.014721 0.018221 0.017669 0.017658  0.050672  0.063286  0.071347
0.019602 0.021625 0.014798 0.018265 0.018908 0.019578  0.050892  0.070223  0.075298
0.018280 0.020216 0.014491 0.017194 0.017261 0.017692  0.046296  0.073563  0.072779
0.018408 0.019748 0.015475 0.017698 0.016861 0.018334  0.051372  0.074324  0.068538
0.019262 0.020740 0.015381 0.016532 0.017806 0.017989  0.059052  0.076153  0.075496
0.018518 0.020663 0.015231 0.017820 0.017371 0.017854  0.069114  0.081314  0.083622
0.018566 0.021129 0.014449 0.017249 0.017006 0.017463  0.072921  0.090377  0.101071
0.018722 0.018712 0.017080 0.017719 0.016141 0.020031  0.078692  0.093889  0.117180
0.017811 0.019867 0.015054 0.017409 0.017174 0.018417  0.092265  0.090417  0.120567
0.018859 0.018465 0.016129 0.017569 0.016386 0.018643  0.097290  0.100893  0.162215
0.019391 0.018667 0.016973 0.017867 0.016927 0.019644  0.102136  0.106937  0.143105
0.018710 0.019198 0.015231 0.017443 0.017994 0.017624  0.107919  0.103327  0.150115
0.018817 0.019367 0.015519 0.017555 0.016568 0.018321  0.116336  0.114535  0.168757
0.019382 0.018607 0.014929 0.017961 0.016285 0.017907  0.125323  0.117285  0.182311
0.019408 0.018401 0.015974 0.017957 0.015840 0.018590  0.138580  0.131100  0.191382
0.018371 0.018942 0.016725 0.017320 0.016736 0.019874  0.151331  0.143876  0.203332
0.019001 0.020507 0.015694 0.018013 0.017595 0.018354  0.154390  0.152458  0.227405
0.017657 0.018633 0.015713 0.016246 0.016806 0.019564  0.163727  0.157076  0.241542
0.019023 0.019752 0.014928 0.017061 0.016610 0.019861  0.165544  0.162838  0.260064
0.018021 0.019329 0.015922 0.017891 0.016522 0.019096  0.171033  0.168992  0.272994
0.019059 0.019505 0.015979 0.017496 0.017350 0.018494  0.166768  0.160036  0.272343
0.019356 0.019926 0.014963 0.017726 0.016594 0.018712  0.175704  0.174262  0.284636
0.019725 0.020061 0.015605 0.017818 0.016760 0.019000  0.190482  0.191603  0.300281
0.018755 0.019384 0.015990 0.017176 0.016560 0.019127  0.180873  0.205595  0.316939
0.019962 0.018762 0.015792 0.018370 0.016421 0.019605  0.194150  0.220255  0.310446
0.019306 0.018581 0.016246 0.018474 0.016395 0.019668  0.195917  0.219545  0.319417
0.017682 0.019650 0.014648 0.016714 0.016358 0.018216  0.204130  0.221631  0.351661
0.018534 0.020117 0.015742 0.018303 0.017135 0.019391  0.214712  0.227202  0.380079
0.019829 0.019162 0.015450 0.017884 0.017232 0.018401  0.234898  0.238237  0.396277
0.018457 0.019511 0.016108 0.017106 0.017370 0.019424  0.243310  0.249022  0.422918
0.019464 0.020338 0.016145 0.018128 0.017093 0.019357  0.254604  0.276013  0.444695
0.018225 0.021134 0.015938 0.017707 0.017992 0.019262  0.271221  0.291308  0.462819
0.018384 0.019994 0.016655 0.018030 0.016840 0.019191  0.275960  0.286742  0.482451
0.019362 0.019630 0.015276 0.018089 0.017311 0.018913  0.297039  0.290647  0.505450
0.019002 0.020462 0.015578 0.018622 0.017458 0.019557  0.299395  0.296860  0.544847
0.019611 0.020900 0.014859 0.018155 0.018065 0.018412  0.299837  0.311325  0.556706
0.018967 0.020056 0.014599 0.017623 0.018121 0.018204  0.327945  0.305687  0.564009
0.019577 0.020464 0.016892 0.017134 0.017686 0.019130  0.330097  0.325579  0.587801
0.018216 0.019678 0.016294 0.017435 0.016782 0.018947  0.322054  0.330336  0.578849
0.019904 0.020342 0.016647 0.018877 0.017466 0.019295  0.367216  0.346898  0.586171
0.019001 0.020490 0.015732 0.018681 0.018219 0.019191  0.366725  0.377569  0.600584
0.019091 0.020063 0.015029 0.017348 0.016600 0.018378  0.383833  0.380979  0.646472
0.018004 0.020090 0.015702 0.018015 0.018159 0.018051  0.387748  0.395356  0.677502
0.018153 0.019872 0.015848 0.017273 0.016641 0.019476  0.401424  0.400927  0.702880
0.019178 0.019987 0.015787 0.017770 0.017653 0.018623  0.413773  0.400913  0.754416
0.019540 0.020176 0.015965 0.018909 0.017414 0.018637  0.447458  0.439644  0.739692
0.018798 0.018980 0.016121 0.017706 0.017193 0.019283  0.444066  0.438165  0.731194
