# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 0 0
90 0.895 3.91813e-07 5.85938e-09
91 0.905 8.43045e-06 1.34766e-07
92 0.915 6.12291e-05 1.0918e-06
93 0.925 0.00033392 6.42578e-06
94 0.935 0.00149813 3.0877e-05
95 0.945 0.00550908 0.000122725
96 0.955 0.0169272 0.000410939
97 0.965 0.0446683 0.00118751
98 0.975 0.101126 0.00298223
99 0.985 0.200732 0.00661815
100 0.995 0.35292 0.0131412
101 1.005 0.556007 0.0236254
102 1.015 0.796483 0.0389445
103 1.025 1.044 0.0594219
104 1.035 1.27096 0.0848397
105 1.045 1.44578 0.114315
106 1.055 1.55444 0.146615
107 1.065 1.59219 0.18033
108 1.075 1.56816 0.214162
109 1.085 1.49742 0.247072
110 1.095 1.39696 0.278343
111 1.105 1.28244 0.307577
112 1.115 1.16459 0.334607
113 1.125 1.05149 0.359451
114 1.135 0.949482 0.382287
115 1.145 0.860701 0.403353
116 1.155 0.785504 0.422916
117 1.165 0.723453 0.441247
118 1.175 0.673032 0.458594
119 1.185 0.631313 0.475145
120 1.195 0.599894 0.491138
121 1.205 0.57569 0.506744
122 1.215 0.558408 0.522133
123 1.225 0.54655 0.537445
124 1.235 0.539898 0.552818
125 1.245 0.537862 0.568383
126 1.255 0.539441 0.584245
127 1.265 0.54355 0.600483
128 1.275 0.551238 0.617213
129 1.285 0.560272 0.634484
130 1.295 0.570591 0.652349
131 1.305 0.58128 0.67083
132 1.315 0.591135 0.689913
133 1.325 0.599313 0.709557
134 1.335 0.604172 0.729659
135 1.345 0.605452 0.750107
136 1.355 0.602328 0.770753
137 1.365 0.593872 0.79141
138 1.375 0.580579 0.811903
139 1.385 0.560727 0.831983
140 1.395 0.535701 0.851445
141 1.405 0.504857 0.870051
142 1.415 0.46915 0.887588
143 1.425 0.429493 0.90387
144 1.435 0.387175 0.918754
145 1.445 0.344181 0.932171
146 1.455 0.301059 0.94407
147 1.465 0.259333 0.954461
148 1.475 0.220312 0.963409
149 1.485 0.18371 0.970972
150 1.495 0.15113 0.977278
151 1.505 0.122498 0.982458
152 1.515 0.0974807 0.986635
153 1.525 0.0762118 0.989944
