# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 1.25581e-06 1.75781e-08
90 0.895 1.32341e-05 2.07031e-07
91 0.905 0.000105815 1.75586e-06
92 0.915 0.000658158 1.16035e-05
93 0.925 0.00326268 6.14941e-05
94 0.935 0.012873 0.000262617
95 0.945 0.042187 0.000935908
96 0.955 0.113673 0.00278869
97 0.965 0.259878 0.00711368
98 0.975 0.510282 0.0157829
99 0.985 0.872934 0.030919
100 0.995 1.31939 0.0542633
101 1.005 1.78061 0.0864043
102 1.015 2.17744 0.126495
103 1.025 2.43224 0.172163
104 1.035 2.50948 0.220205
105 1.045 2.41736 0.267383
106 1.055 2.19413 0.311027
107 1.065 1.8914 0.349366
108 1.075 1.56156 0.381616
109 1.085 1.24703 0.407852
110 1.095 0.96927 0.428622
111 1.105 0.740206 0.444774
112 1.115 0.560037 0.457217
113 1.125 0.422074 0.466764
114 1.135 0.319712 0.474125
115 1.145 0.244294 0.479848
116 1.155 0.189771 0.484373
117 1.165 0.150944 0.488034
118 1.175 0.123401 0.491079
119 1.185 0.104197 0.493693
120 1.195 0.0905044 0.496003
121 1.205 0.081431 0.498116
122 1.215 0.0759216 0.500119
123 1.225 0.0728614 0.502073
124 1.235 0.0723479 0.504045
125 1.245 0.0741263 0.506099
126 1.255 0.077723 0.508287
127 1.265 0.0836854 0.51068
128 1.275 0.0914697 0.513337
129 1.285 0.101815 0.516342
130 1.295 0.114577 0.519776
131 1.305 0.130146 0.523737
132 1.315 0.14862 0.52833
133 1.325 0.170264 0.533672
134 1.335 0.195243 0.53989
135 1.345 0.223306 0.54711
136 1.355 0.254927 0.555475
137 1.365 0.289496 0.565114
138 1.375 0.326874 0.576159
139 1.385 0.365752 0.588697
140 1.395 0.405928 0.602815
141 1.405 0.445582 0.618534
142 1.415 0.483557 0.635837
143 1.425 0.518425 0.654651
144 1.435 0.547622 0.674804
145 1.445 0.570835 0.696105
146 1.455 0.586662 0.718301
147 1.465 0.594622 0.741108
148 1.475 0.593053 0.764167
149 1.485 0.583416 0.78716
150 1.495 0.566018 0.809768
151 1.505 0.541245 0.831677
152 1.515 0.509422 0.852573
