 0.031452  0.034984  0.023569 0.030053 0.030940 0.029335    0.202647    0.180773    0.191579
 0.036722  0.037334  0.024435 0.030988 0.031693 0.030922    0.408926    0.338249    0.499578
 0.036625  0.040165  0.026803 0.032123 0.029791 0.030415    0.744903    0.665232    0.939029
 0.035869  0.040068  0.027614 0.032382 0.030210 0.031409    0.996652    0.996798    1.469584
 0.038116  0.041893  0.025178 0.032263 0.032062 0.030173    1.392277    1.416567    2.059136
 0.034642  0.045574  0.027342 0.031060 0.030477 0.032404    1.693554    1.706558    2.691102
 0.037479  0.047352  0.025896 0.032079 0.030834 0.030551    2.083285    2.056783    3.248788
 0.038167  0.048771  0.024889 0.032775 0.031113 0.031236    2.448666    2.442372    3.827142
 0.033942  0.056876  0.026706 0.032683 0.031142 0.030066    2.969202    2.837453    4.455103
 0.038242  0.061963  0.028128 0.034178 0.030814 0.031797    3.416934    3.198017    5.189782
 0.042391  0.063978  0.026366 0.034599 0.031770 0.031050    3.887082    3.768689    5.902406
 0.041304  0.066174  0.026381 0.032406 0.030445 0.031959    4.520105    4.336417    6.641073
 0.041732  0.066005  0.026290 0.034090 0.032769 0.030276    5.014457    4.738356    7.262560
 0.038970  0.069814  0.026593 0.032212 0.031245 0.030211    5.712665    5.295726    8.080733
 0.040273  0.071200  0.028210 0.034554 0.033303 0.030997    6.145822    5.668606    8.670996
 0.038970  0.077115  0.027482 0.033689 0.034636 0.032869    6.786253    6.109227    9.418140
 0.042095  0.078447  0.027752 0.034897 0.032729 0.031945    6.958191    6.468613    9.926139
 0.042156  0.071776  0.024968 0.034707 0.032713 0.031340    7.283753    6.907829   10.320504
 0.038393  0.072432  0.025865 0.033044 0.030938 0.030699    7.620624    7.351131   11.250629
 0.042439  0.075972  0.027960 0.034058 0.031766 0.032307    8.159760    7.761233   11.925619
 0.039969  0.076468  0.026603 0.035149 0.030969 0.031245    8.460580    8.151633   12.507914
 0.046429  0.081228  0.027296 0.038337 0.031109 0.031996    9.097760    8.720744   13.051197
 0.042341  0.086273  0.025923 0.035879 0.031213 0.030074    9.729791    9.031342   13.975400
 0.041325  0.085770  0.028432 0.033576 0.031481 0.033612   10.154076    9.652589   14.405091
 0.038262  0.081348  0.027296 0.034448 0.029601 0.032270   10.420457    9.983998   15.172037
 0.042055  0.089617  0.028075 0.037392 0.031564 0.032985   10.912087   10.451263   15.810282
 0.042925  0.085386  0.028023 0.036421 0.033436 0.033818   11.292561   11.069238   16.447321
 0.041941  0.092915  0.026566 0.035116 0.031387 0.032679   11.801048   11.213757   16.969315
 0.038955  0.091207  0.027486 0.033728 0.031766 0.031745   12.401983   11.766924   17.984311
 0.036112  0.093259  0.026589 0.033718 0.031563 0.031626   12.920791   12.272492   18.892760
 0.037172  0.090202  0.029532 0.033711 0.032684 0.033736   13.294727   12.594920   19.633446
 0.038550  0.102183  0.027510 0.035207 0.035069 0.034033   13.925527   13.206825   20.294350
 0.041322  0.110099  0.029329 0.034349 0.031825 0.032473   14.383732   13.508421   21.009278
 0.038887  0.108516  0.029462 0.032010 0.032464 0.033189   14.932163   14.046532   21.734566
 0.038271  0.109637  0.030709 0.034129 0.032756 0.034849   15.460349   14.445690   22.307245
 0.038812  0.110267  0.028711 0.034618 0.030914 0.033040   16.048107   14.847503   23.437234
 0.040401  0.107854  0.028229 0.035179 0.034680 0.032625   16.573998   15.480752   24.001392
 0.041821  0.107248  0.028115 0.034284 0.033114 0.031950   17.088144   15.824149   24.699658
 0.043919  0.110359  0.032489 0.034480 0.031357 0.033867   17.271804   16.582503   25.395975
 0.049668  0.116401  0.033598 0.036731 0.033518 0.033206   17.848078   16.904984   26.170486
 0.048757  0.110675  0.031491 0.034353 0.037181 0.031273   18.231759   17.351922   27.152942
 0.051678  0.115838  0.034341 0.035303 0.035693 0.034667   18.919049   17.719669   28.139135
 0.053474  0.117890  0.035316 0.032762 0.030073 0.032352   19.367112   18.276672   29.062370
 0.059276  0.128157  0.033790 0.034661 0.035666 0.034330   19.771092   18.718288   29.673015
 0.057366  0.126200  0.034058 0.036057 0.037469 0.032137   20.203087   19.111229   30.115622
 0.057874  0.122817  0.033560 0.034426 0.036289 0.032815   20.493624   19.642767   30.953044
 0.058183  0.119420  0.034924 0.036857 0.034820 0.033325   20.971170   20.028192   31.307808
 0.058697  0.113330  0.035974 0.035425 0.035977 0.033167   21.633527   20.427920   31.588920
 0.065461  0.117586  0.038435 0.036156 0.036839 0.035698   22.426315   20.918795   31.746993
 0.060233  0.116359  0.041526 0.037646 0.033671 0.032107   22.936222   21.082826   33.027759
 0.061482  0.129303  0.042079 0.037111 0.036417 0.033060   23.325593   21.918330   33.522406
 0.062832  0.129364  0.040329 0.036007 0.036947 0.034086   23.604205   22.163261   33.823082
 0.066638  0.120133  0.040212 0.035828 0.032193 0.031951   24.574833   22.986652   34.579040
 0.059195  0.116673  0.040137 0.034349 0.031842 0.032979   24.942699   23.700142   35.447951
 0.058512  0.113785  0.038654 0.031856 0.032845 0.031379   25.301431   24.137364   36.084318
 0.062238  0.109240  0.041253 0.036710 0.033051 0.031239   25.547052   24.631914   37.200632
 0.062829  0.109142  0.044234 0.033361 0.033066 0.031887   26.263093   24.966613   37.768701
 0.058228  0.111738  0.044492 0.034079 0.031590 0.032057   26.954867   25.615544   38.845995
 0.064395  0.123170  0.048180 0.034412 0.035150 0.033296   27.260837   26.416212   39.289065
 0.066600  0.127974  0.048001 0.034589 0.033964 0.032122   28.007179   26.839399   40.090272
 0.065997  0.122424  0.046886 0.035050 0.034022 0.033652   28.292312   27.428991   40.909761
 0.066088  0.127698  0.046510 0.032475 0.030773 0.030986   28.536998   27.898675   41.382926
 0.061887  0.140267  0.048688 0.035258 0.033220 0.033675   29.361144   28.303444   42.231305
 0.066382  0.139494  0.047066 0.034503 0.032669 0.033233   29.583107   29.099892   42.999611
 0.072613  0.158963  0.052363 0.036175 0.035220 0.033263   30.129660   29.428160   43.457615
 0.072785  0.163509  0.056173 0.033951 0.033431 0.032765   30.662416   29.963582   44.709732
 0.074221  0.158461  0.055924 0.033614 0.034981 0.033335   31.045315   30.217647   45.074751
 0.075437  0.161636  0.058967 0.037385 0.034711 0.033742   31.517546   30.862944   46.058857
 0.078972  0.159676  0.058791 0.038647 0.034001 0.035082   32.339512   31.463151   46.412140
 0.073711  0.163406  0.061119 0.037849 0.033915 0.033936   32.683666   31.637315   47.858295
 0.071488  0.167132  0.059517 0.036645 0.034575 0.032133   33.308679   31.971613   49.344963
 0.068015  0.175306  0.062054 0.035456 0.032564 0.033278   33.860586   32.558733   49.525179
 0.068429  0.176714  0.062111 0.039002 0.035667 0.035145   34.307962   32.923177   50.014248
 0.071475  0.166807  0.060393 0.040585 0.033278 0.034231   34.670902   33.365643   51.050779
 0.069585  0.170922  0.064069 0.036900 0.032754 0.035035   35.299789   33.837614   51.904958
 0.071336  0.172177  0.066245 0.034696 0.032570 0.032415   36.144907   34.266949   53.111711
 0.072660  0.181898  0.065197 0.035296 0.032790 0.032963   36.759240   34.527737   54.548286
 0.077897  0.190546  0.069261 0.038652 0.033671 0.036324   37.678245   34.821487   55.473717
 0.074531  0.188933  0.063028 0.038602 0.032967 0.033330   38.278913   35.121356   56.451516
 0.085689  0.188165  0.065334 0.036927 0.034957 0.035381   38.640858   35.459941   57.313673
 0.079726  0.200399  0.062836 0.035465 0.034269 0.033124   39.447608   35.975713   57.787438
 0.075430  0.187147  0.067206 0.033957 0.035553 0.036142   39.922450   36.409911   59.475936
