0.022101 0.024316 0.020385 0.021882 0.020878 0.023713   0.078212   0.077977   0.110556
0.022593 0.023046 0.019304 0.021267 0.019960 0.022520   0.107180   0.107859   0.178497
0.020355 0.023000 0.019642 0.020782 0.022254 0.022534   0.179560   0.158134   0.319280
0.021301 0.025573 0.017113 0.020998 0.021366 0.022500   0.217130   0.204857   0.382651
0.021304 0.021747 0.019466 0.022506 0.019376 0.022600   0.283258   0.339078   0.487711
0.022957 0.024239 0.018179 0.021188 0.020305 0.022900   0.347489   0.397476   0.647723
0.019946 0.023968 0.018866 0.019638 0.020621 0.024000   0.410475   0.453916   0.798712
0.024715 0.023260 0.019838 0.022604 0.020534 0.024538   0.499257   0.501714   0.900507
0.020170 0.022062 0.017221 0.020137 0.020552 0.021560   0.588436   0.587966   1.089980
0.023938 0.025014 0.018562 0.022457 0.021188 0.022573   0.641705   0.652638   1.329397
0.021951 0.022394 0.017939 0.021513 0.019655 0.022144   0.746428   0.741146   1.451372
0.020543 0.024723 0.018308 0.021036 0.021069 0.023011   0.813288   0.836506   1.609304
0.023232 0.025024 0.017758 0.021332 0.022151 0.022140   0.947688   0.901479   1.896855
0.021795 0.023831 0.019224 0.021961 0.020986 0.022282   1.106982   0.999696   2.141192
0.022920 0.024819 0.018634 0.021225 0.020127 0.022892   1.206959   1.069859   2.287566
0.022045 0.024016 0.018244 0.021007 0.020338 0.022796   1.275329   1.128761   2.556526
0.023105 0.024270 0.017520 0.021797 0.019664 0.021915   1.409634   1.332784   2.680185
0.021969 0.024024 0.018868 0.021064 0.020859 0.022846   1.501837   1.432464   2.832540
0.022663 0.024226 0.021309 0.020673 0.020553 0.026367   1.584674   1.509744   3.039457
0.020707 0.023590 0.017011 0.021579 0.020479 0.021478   1.675922   1.595495   3.211073
0.022375 0.025587 0.020056 0.021535 0.021602 0.024268   1.782488   1.697787   3.520655
0.022740 0.023728 0.019084 0.023766 0.019671 0.024167   1.951583   1.806214   3.857963
0.023552 0.025611 0.019857 0.022950 0.021184 0.023460   2.063219   1.907401   4.116143
0.023201 0.025780 0.019093 0.021823 0.021373 0.023333   2.172973   2.039976   4.338739
0.022862 0.025181 0.020374 0.022581 0.020816 0.024887   2.320079   2.181449   4.480603
0.022339 0.024057 0.020571 0.020852 0.020368 0.024404   2.452525   2.245339   4.772572
0.024116 0.025471 0.018059 0.022476 0.020728 0.023258   2.496690   2.309769   5.013109
0.020590 0.025016 0.017569 0.021197 0.021590 0.022538   2.568590   2.394269   5.187067
0.022995 0.024221 0.018384 0.023063 0.020499 0.023051   2.641761   2.476441   5.405246
0.021484 0.026203 0.017724 0.021393 0.020743 0.021502   2.831208   2.582223   5.586739
0.023698 0.026037 0.019970 0.022977 0.019862 0.024925   2.940613   2.683114   5.658222
0.023939 0.025003 0.019502 0.022490 0.020912 0.022882   2.994085   2.804288   6.005097
0.023127 0.025648 0.020110 0.022102 0.020579 0.024713   3.123209   2.910570   6.225262
0.022097 0.026415 0.019969 0.021776 0.022352 0.023516   3.201937   3.024958   6.553871
0.022980 0.025518 0.018910 0.021192 0.020678 0.023639   3.390053   3.164435   6.726271
0.024367 0.025307 0.018957 0.023368 0.020680 0.022837   3.438481   3.286131   6.842127
0.022251 0.025782 0.017983 0.020940 0.020128 0.023818   3.556626   3.384190   7.019379
0.022482 0.024206 0.018674 0.021256 0.019488 0.022596   3.702557   3.456248   7.235100
0.023059 0.027334 0.019338 0.021679 0.021306 0.023223   3.883617   3.528884   7.443768
