   -19.531573 57502.051823
  9995.134227 57207.873607
 20005.286475 56848.882472
 29994.646281 56626.559402
 39990.047320 56318.441183
 49997.173014 56011.668809
 54988.873011 55857.911212
 59992.026500 55702.261070
 65005.977413 55546.328512
 69993.764117 55385.653228
 75005.667495 55235.858063
 80046.825271 55109.203987
 84980.941835 54991.780276
 90002.294356 54875.570960
 95006.294669 54761.574772
 99997.792132 54649.182636
105008.379400 54538.271590
109989.801999 54429.269126
114997.408894 54321.995503
119999.926924 54214.726023
124996.631363 54109.356937
130006.640450 54004.730724
135002.594561 53902.254691
139994.338972 53801.013186
149997.317216 53600.984475
159980.036831 53405.399433
170031.279722 53212.405276
180017.368230 53025.174581
190008.403597 52841.196009
199994.095717 52660.576898
210004.609208 52482.674739
220015.778658 52308.671628
229999.850150 52137.146080
240003.271527 51968.647642
249997.340728 51803.457829
260001.284340 51641.112192
270002.806445 51480.762099
279997.751606 51323.178751
290001.890443 51167.999677
299991.820885 51015.219140
310002.727459 50865.000009
320007.554861 50716.788675
329980.279843 50570.795098
340001.215211 50427.098263
350002.275525 50284.697016
359999.290728 50144.370550
369999.902477 50006.112969
380006.346517 49870.211857
389985.676203 49735.744215
400005.376231 49602.926500
409984.581056 49472.031966
420008.547623 49342.450708
430005.757987 49213.990440
440009.130107 49087.962015
450111.328094 48961.952342
459994.621585 48840.205946
470005.427687 48718.313261
480000.983176 48598.025549
489995.287145 48479.003306
499989.841263 48361.430888
509996.678908 48244.858235
520000.310457 48130.040885
530006.552577 48015.618859
539992.163983 47903.201021
550001.773498 47791.938515
559999.715203 47681.508915
570004.552691 47572.467746
579994.526645 47464.293486
589991.596916 47357.673596
599999.863034 47251.518465
610008.897852 47146.801325
619997.740257 47043.007898
629998.855118 46940.334493
640000.548444 46838.429335
650000.122391 46737.636622
659998.068622 46637.801006
670001.471884 46538.698469
679999.938601 46440.739804
689988.710650 46343.444272
700004.167537 46247.365975
