# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 0 0
90 0.895 9.26635e-07 1.36719e-08
91 0.905 1.73486e-05 2.75391e-07
92 0.915 0.000108035 1.94141e-06
93 0.925 0.000570941 1.09395e-05
94 0.935 0.0024683 5.06855e-05
95 0.945 0.00893012 0.000197576
96 0.955 0.0267778 0.000647412
97 0.965 0.0679799 0.00181344
98 0.975 0.148926 0.00442111
99 0.985 0.28564 0.00952574
100 0.995 0.484778 0.0183659
101 1.005 0.739057 0.0321153
102 1.015 1.02169 0.0515028
103 1.025 1.29491 0.0765616
104 1.035 1.5214 0.106581
105 1.045 1.67312 0.140234
106 1.055 1.73837 0.175873
107 1.065 1.72103 0.211828
108 1.075 1.63889 0.246713
109 1.085 1.51356 0.279532
110 1.095 1.36457 0.309669
111 1.105 1.21104 0.336906
112 1.115 1.06467 0.361286
113 1.125 0.933848 0.383056
114 1.135 0.820231 0.402518
115 1.145 0.724721 0.420019
116 1.155 0.645575 0.435882
117 1.165 0.582029 0.450432
118 1.175 0.531528 0.463949
119 1.185 0.491598 0.476664
120 1.195 0.461917 0.488814
121 1.205 0.439878 0.500578
122 1.215 0.424171 0.512112
123 1.225 0.415435 0.523595
124 1.235 0.410453 0.535126
125 1.245 0.411066 0.546862
126 1.255 0.415686 0.558921
127 1.265 0.423686 0.571409
128 1.275 0.435099 0.584437
129 1.285 0.448851 0.598089
130 1.295 0.465544 0.612469
131 1.305 0.484389 0.627664
132 1.315 0.502677 0.643674
133 1.325 0.521505 0.660538
134 1.335 0.539615 0.678252
135 1.345 0.556004 0.696779
136 1.355 0.569709 0.716045
137 1.365 0.579376 0.735929
138 1.375 0.584295 0.756276
139 1.385 0.583734 0.776901
140 1.395 0.576675 0.797572
141 1.405 0.562671 0.81803
142 1.415 0.541829 0.838013
143 1.425 0.514851 0.857269
144 1.435 0.482766 0.87558
145 1.445 0.4461 0.892737
146 1.455 0.406311 0.908581
147 1.465 0.364504 0.92299
148 1.475 0.322164 0.9359
149 1.485 0.28032 0.947287
150 1.495 0.240238 0.957177
151 1.505 0.202659 0.965631
152 1.515 0.168744 0.972765
153 1.525 0.138289 0.978689
