0.015002 0.015515 0.012436 0.013878 0.014041 0.015869 0.035946 0.037806  0.049973
0.013521 0.014594 0.011904 0.013218 0.012380 0.015145 0.032030 0.037495  0.043653
0.014583 0.015546 0.012210 0.014173 0.013019 0.014795 0.034309 0.038504  0.046208
0.014229 0.014400 0.011510 0.014459 0.013053 0.014698 0.034617 0.038763  0.048414
0.013592 0.015614 0.011617 0.013353 0.013826 0.014156 0.033216 0.041027  0.045780
0.014214 0.014817 0.012250 0.014040 0.012900 0.015205 0.038309 0.038916  0.049803
0.013433 0.015828 0.012523 0.013328 0.013795 0.014762 0.034186 0.039124  0.047443
0.014799 0.014665 0.011896 0.013759 0.013044 0.015048 0.031301 0.038322  0.044643
0.013505 0.015296 0.012629 0.013309 0.013792 0.014951 0.032403 0.035236  0.049675
0.013869 0.016033 0.012332 0.013715 0.013663 0.015175 0.033936 0.036357  0.051280
0.013965 0.015032 0.011301 0.014800 0.013578 0.014951 0.036141 0.040036  0.046461
0.014564 0.015824 0.013002 0.014197 0.013475 0.015534 0.034830 0.039791  0.047478
0.014004 0.015093 0.011876 0.013349 0.013239 0.014924 0.042080 0.042877  0.053112
0.014645 0.014043 0.013006 0.014074 0.012760 0.015839 0.040776 0.043260  0.053552
0.013062 0.014465 0.013250 0.013447 0.013514 0.016065 0.039312 0.046101  0.062665
0.013324 0.014905 0.013372 0.013632 0.012988 0.016040 0.041161 0.042000  0.060256
0.013701 0.014888 0.012616 0.013300 0.012640 0.016389 0.037895 0.051504  0.068112
0.015438 0.014929 0.013000 0.014661 0.013344 0.016170 0.048420 0.062301  0.070554
0.013280 0.014212 0.011509 0.013207 0.013264 0.014800 0.054054 0.054295  0.085908
0.013594 0.015075 0.013493 0.013964 0.013547 0.015044 0.049368 0.061937  0.076875
0.013157 0.014070 0.012463 0.013014 0.012717 0.015246 0.049150 0.058522  0.079698
0.013682 0.015585 0.011937 0.013315 0.012700 0.016127 0.050493 0.056544  0.086731
0.013889 0.014952 0.012312 0.013569 0.012666 0.015078 0.055598 0.068838  0.084749
0.014031 0.014764 0.012814 0.013507 0.013040 0.015427 0.058493 0.066282  0.085771
0.013397 0.014367 0.012354 0.013738 0.012740 0.015466 0.056533 0.063247  0.088216
0.012949 0.015148 0.012561 0.013342 0.013169 0.015844 0.057351 0.065752  0.101710
0.014475 0.014939 0.011886 0.014654 0.012348 0.014776 0.061256 0.068247  0.109040
0.013939 0.015653 0.012839 0.013762 0.012825 0.014926 0.063603 0.072373  0.105765
0.014502 0.015182 0.012354 0.014282 0.013098 0.015475 0.062978 0.064481  0.111315
0.014501 0.015273 0.013143 0.013567 0.013579 0.014795 0.064545 0.073587  0.117574
0.016260 0.015915 0.012989 0.015240 0.012964 0.015658 0.070106 0.075832  0.144426
