0.019147 0.022036 0.017271 0.019142 0.019558 0.020085   0.055172   0.056018   0.090841
0.017670 0.021766 0.016091 0.018445 0.018971 0.021192   0.084956   0.075521   0.128048
0.019453 0.021651 0.015704 0.019732 0.018899 0.019819   0.155384   0.107356   0.187306
0.019137 0.020960 0.016581 0.018327 0.018546 0.020825   0.172088   0.140966   0.274950
0.018966 0.022196 0.016381 0.019411 0.018956 0.020553   0.211159   0.167591   0.373636
0.019510 0.022071 0.016278 0.018780 0.018524 0.020863   0.237272   0.219799   0.476198
0.021653 0.022239 0.017072 0.020098 0.020065 0.021007   0.293686   0.237570   0.580550
0.018084 0.021048 0.016572 0.018429 0.018935 0.020669   0.324461   0.292691   0.659528
0.020183 0.022700 0.015799 0.019752 0.020472 0.019993   0.378891   0.301573   0.736561
0.019406 0.022588 0.016610 0.019736 0.019217 0.020757   0.393310   0.327705   0.878355
0.021111 0.022065 0.016762 0.020617 0.019821 0.020140   0.475234   0.382734   0.965973
0.019237 0.021072 0.016776 0.018813 0.018400 0.021034   0.507924   0.416602   1.059542
0.018180 0.020861 0.015972 0.018627 0.019305 0.019965   0.605893   0.493448   1.169964
0.019490 0.023272 0.015866 0.019923 0.020323 0.020775   0.702912   0.517406   1.294201
0.021737 0.022225 0.015680 0.021349 0.018912 0.020653   0.717783   0.583488   1.489235
0.020381 0.022810 0.016354 0.020409 0.019819 0.019881   0.811029   0.631808   1.542327
0.019725 0.021582 0.015432 0.019572 0.019080 0.019812   0.902224   0.682056   1.689568
0.020093 0.023879 0.016660 0.020269 0.020020 0.020181   0.948036   0.705922   1.777867
0.020175 0.022767 0.015964 0.020040 0.018788 0.019671   0.999897   0.761871   1.928077
0.020242 0.021329 0.016421 0.019595 0.019240 0.020030   1.084265   0.837730   2.081204
0.020613 0.023249 0.015350 0.020360 0.019500 0.019954   1.106273   0.877023   2.114722
0.021316 0.022547 0.016403 0.020135 0.018652 0.020774   1.167703   0.919281   2.318117
0.019448 0.020245 0.016946 0.019844 0.017429 0.021691   1.260446   0.956058   2.452539
0.020049 0.022279 0.015881 0.020624 0.019325 0.019695   1.318105   1.014156   2.574436
0.019213 0.021633 0.016816 0.019557 0.017903 0.020891   1.335241   1.106226   2.643037
0.018979 0.021539 0.017792 0.019125 0.018421 0.021372   1.396404   1.128612   2.785917
0.018808 0.021995 0.016166 0.017843 0.018536 0.020381   1.429470   1.198259   2.852242
0.021345 0.021511 0.017057 0.020525 0.019805 0.021581   1.455685   1.270118   3.068192
0.018667 0.021784 0.016967 0.018641 0.018714 0.022287   1.495142   1.355751   3.185431
0.021330 0.022746 0.016014 0.020103 0.019635 0.020619   1.563490   1.443495   3.333950
0.020550 0.021459 0.017436 0.018627 0.018402 0.021910   1.680660   1.507720   3.544337
0.019224 0.022193 0.017010 0.019849 0.019702 0.020804   1.743603   1.589217   3.661966
0.019152 0.021810 0.017595 0.019275 0.017755 0.021542   1.801373   1.668574   3.898321
0.020488 0.023812 0.018225 0.020395 0.020555 0.021103   1.890793   1.705888   3.962196
0.019798 0.022121 0.016439 0.019913 0.018719 0.020303   1.995878   1.778779   4.198818
0.019172 0.023550 0.016331 0.019222 0.019704 0.020122   2.044353   1.862969   4.256446
0.022435 0.020829 0.016613 0.020988 0.017750 0.021267   2.118363   1.903553   4.459033
0.020582 0.022866 0.016082 0.019769 0.020096 0.020624   2.198138   1.934967   4.623378
0.020240 0.023274 0.017188 0.020044 0.017474 0.021561   2.244912   1.978269   4.761679
0.020565 0.025053 0.016260 0.020346 0.020966 0.021086   2.334819   2.032061   4.982598
0.021053 0.022856 0.016039 0.019460 0.019222 0.020544   2.455694   2.093338   4.992481
0.019773 0.027408 0.016846 0.020642 0.020590 0.020270   2.530417   2.160777   5.123020
0.019481 0.021922 0.017513 0.019439 0.017825 0.021011   2.625342   2.234149   5.344583
0.018834 0.024764 0.017288 0.018939 0.020538 0.020285   2.706133   2.278466   5.539874
0.018882 0.021972 0.017221 0.019036 0.017865 0.021038   2.799446   2.373922   5.786374
0.020727 0.024489 0.018366 0.020196 0.020544 0.021550   2.816278   2.480277   6.032323
0.019465 0.023190 0.015470 0.019845 0.018511 0.019773   2.859132   2.600884   6.169836
0.020609 0.024020 0.015710 0.019107 0.021279 0.020549   2.962263   2.698152   6.308403
0.018697 0.021930 0.017621 0.018313 0.019229 0.021642   3.091707   2.762211   6.560317
0.018912 0.023514 0.016130 0.020046 0.020777 0.020581   3.166928   2.837899   6.904668
0.020113 0.022801 0.016771 0.018668 0.019301 0.020374   3.255356   2.893222   7.075907
0.019831 0.025517 0.017338 0.020615 0.021100 0.021365   3.280231   2.994564   7.077937
0.018641 0.021138 0.017080 0.018858 0.018897 0.021384   3.366170   3.031463   7.332479
0.020462 0.023558 0.017780 0.019602 0.019838 0.022093   3.364126   3.097127   7.529572
0.018269 0.021411 0.016672 0.018712 0.018455 0.020990   3.411029   3.161905   7.503587
0.020657 0.022068 0.016603 0.019838 0.019032 0.020661   3.426788   3.174815   7.607724
0.019876 0.019828 0.016865 0.019350 0.017271 0.020874   3.515100   3.239427   7.889240
0.019195 0.023081 0.016956 0.019493 0.019094 0.020771   3.565871   3.364324   7.998574
0.018697 0.022322 0.016336 0.018813 0.018915 0.019879   3.696104   3.379769   8.082717
0.018773 0.022162 0.016699 0.018289 0.019451 0.020061   3.671245   3.509281   8.260394
0.019774 0.024669 0.017118 0.019854 0.018911 0.021031   3.776781   3.462112   8.414447
0.019896 0.024539 0.015968 0.019265 0.018732 0.019875   3.843621   3.561389   8.598279
0.019821 0.022327 0.015229 0.019119 0.018696 0.019963   3.926802   3.595559   8.752111
0.019260 0.021650 0.017042 0.019932 0.018632 0.020543   3.966163   3.717779   8.995462
0.018729 0.023059 0.016658 0.018947 0.019185 0.020327   4.030094   3.774022   9.152074
0.019106 0.021646 0.015735 0.020094 0.017592 0.019975   4.062160   3.916905   9.236584
0.018886 0.021905 0.015968 0.018979 0.018059 0.020292   4.179413   3.965790   9.392181
0.020287 0.022088 0.016236 0.020717 0.019180 0.020939   4.214699   4.001866   9.559004
0.018771 0.021758 0.015569 0.018940 0.018249 0.020295   4.271893   4.073691   9.743230
0.020293 0.025405 0.018048 0.020468 0.019045 0.020791   4.319999   4.126915   9.839483
0.021282 0.022487 0.016727 0.020364 0.018925 0.021409   4.420602   4.160872  10.059048
0.021151 0.020980 0.015771 0.020885 0.018047 0.019552   4.447353   4.234064  10.113568
0.020231 0.021525 0.016396 0.019473 0.018581 0.021447   4.489723   4.269392  10.271400
0.021232 0.022429 0.017092 0.020754 0.019141 0.021373   4.549656   4.319434  10.329079
0.019558 0.021989 0.017401 0.018565 0.019097 0.021045   4.579661   4.364765  10.546575
0.021280 0.021933 0.015690 0.021119 0.018656 0.019268   4.620468   4.467473  10.576464
0.019186 0.021218 0.016585 0.019276 0.018005 0.021690   4.693461   4.412881  10.733626
0.021953 0.023264 0.017618 0.020793 0.019134 0.021850   4.742656   4.492886  10.750715
0.019945 0.021455 0.016158 0.018263 0.018375 0.020452   4.734330   4.558287  11.082447
0.022236 0.021083 0.017322 0.022071 0.019128 0.020672   4.790983   4.656927  11.121944
0.018485 0.021064 0.017047 0.018730 0.017537 0.020779   4.917745   4.722244  11.144615
0.021128 0.023289 0.017418 0.020313 0.019126 0.020994   5.007936   4.819789  11.372781
0.019836 0.020399 0.018403 0.019860 0.017907 0.021404   5.023613   4.943381  11.572509
0.019812 0.020666 0.018619 0.020082 0.018583 0.021800   5.135667   4.926620  11.801008
0.018442 0.021330 0.016870 0.018753 0.017418 0.020970   5.175212   4.946768  11.978118
0.019287 0.022700 0.016615 0.019820 0.018379 0.020817   5.342332   5.022845  12.073572
0.020780 0.020653 0.016764 0.020026 0.018071 0.021177   5.436043   5.021788  12.055167
0.019432 0.022223 0.018356 0.018833 0.018636 0.021681   5.536444   5.128641  12.272055
0.018968 0.023037 0.019566 0.018846 0.018958 0.023321   5.529180   5.263139  12.363791
0.018567 0.022375 0.018328 0.018586 0.018295 0.021798   5.581225   5.290094  12.565305
0.019006 0.022272 0.018040 0.018507 0.019272 0.021564   5.627696   5.407279  12.708484
0.019566 0.021435 0.016548 0.019009 0.018517 0.020686   5.713660   5.406956  12.841685
0.020585 0.021770 0.018099 0.019169 0.017368 0.022433   5.736152   5.456783  12.977016
0.018427 0.021186 0.018237 0.018683 0.018460 0.021846   5.793725   5.543751  13.187082
0.019332 0.021883 0.017142 0.019150 0.018192 0.021218   5.870768   5.638487  13.192222
0.018982 0.021926 0.017122 0.019104 0.019618 0.021218   5.950303   5.644713  13.434102
