# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 0 0
90 0.895 0 0
91 0.905 1.66187e-06 2.73437e-08
92 0.915 1.06835e-05 2.07031e-07
93 0.925 4.97688e-05 1.0625e-06
94 0.935 0.000290592 6.16602e-06
95 0.945 0.00111395 2.61504e-05
96 0.955 0.00385404 9.67637e-05
97 0.965 0.0111357 0.000305086
98 0.975 0.0277715 0.000835447
99 0.985 0.0609182 0.00202281
100 0.995 0.118945 0.00438848
101 1.005 0.207323 0.00859518
102 1.015 0.329304 0.0154106
103 1.025 0.480524 0.0255526
104 1.035 0.650897 0.0395599
105 1.045 0.825105 0.057661
106 1.055 0.989723 0.079791
107 1.065 1.13348 0.105618
108 1.075 1.24845 0.134602
109 1.085 1.33203 0.166103
110 1.095 1.38536 0.199473
111 1.105 1.41066 0.234076
112 1.115 1.41525 0.269422
113 1.125 1.40425 0.305126
114 1.135 1.38186 0.340887
115 1.145 1.35125 0.376476
116 1.155 1.31615 0.411748
117 1.165 1.2786 0.44661
118 1.175 1.24011 0.481005
119 1.185 1.19959 0.514845
120 1.195 1.15943 0.548106
121 1.205 1.11815 0.580723
122 1.215 1.07621 0.612639
123 1.225 1.03541 0.643853
124 1.235 0.991951 0.674247
125 1.245 0.947896 0.703763
126 1.255 0.903163 0.73234
127 1.265 0.856005 0.759858
128 1.275 0.807286 0.786222
129 1.285 0.756984 0.811332
130 1.295 0.703622 0.835037
131 1.305 0.648467 0.857223
132 1.315 0.591049 0.877755
133 1.325 0.532429 0.896533
134 1.335 0.473873 0.913499
135 1.345 0.416015 0.928618
136 1.355 0.360192 0.941903
137 1.365 0.306691 0.953383
138 1.375 0.257181 0.963151
139 1.385 0.211783 0.971312
140 1.395 0.171617 0.978021
141 1.405 0.136372 0.983429
142 1.415 0.106533 0.987714
143 1.425 0.0816453 0.991045
144 1.435 0.0614024 0.993585
145 1.445 0.0451151 0.995478
146 1.455 0.0326698 0.996867
147 1.465 0.023201 0.997867
148 1.475 0.0160994 0.998571
149 1.485 0.0109785 0.999057
150 1.495 0.00738761 0.999389
151 1.505 0.00486398 0.99961
152 1.515 0.00317492 0.999757
