0.021683 0.024076 0.018318 0.021240 0.019930 0.021404   0.047657   0.059470   0.065982
0.024061 0.023357 0.017684 0.021801 0.021277 0.021431   0.067780   0.085397   0.071192
0.020674 0.022867 0.017790 0.020266 0.020431 0.021726   0.069746   0.084239   0.076851
0.021525 0.024418 0.018671 0.021235 0.020489 0.022024   0.076325   0.087220   0.085353
0.022739 0.023609 0.018462 0.021775 0.020513 0.022690   0.110885   0.111574   0.112858
0.021516 0.023817 0.018701 0.020990 0.020012 0.022030   0.125880   0.129000   0.125970
0.022858 0.023842 0.018322 0.021792 0.019916 0.021602   0.125549   0.162918   0.151048
0.021482 0.024715 0.018816 0.020062 0.019141 0.021970   0.149446   0.172267   0.168759
0.021917 0.024278 0.019820 0.020980 0.021787 0.021913   0.152592   0.196141   0.186313
0.022358 0.021141 0.018661 0.020961 0.019795 0.022517   0.158589   0.203932   0.218423
0.022874 0.025635 0.018754 0.021182 0.022074 0.022452   0.177679   0.222863   0.254126
0.021894 0.023205 0.016742 0.019932 0.020579 0.021242   0.187956   0.241656   0.316047
0.023936 0.024434 0.018936 0.023156 0.020038 0.022777   0.209240   0.254295   0.365574
0.022778 0.024436 0.018139 0.022053 0.021198 0.021863   0.207233   0.243984   0.403763
0.024360 0.022158 0.017384 0.023249 0.018799 0.021286   0.231588   0.289905   0.455881
0.021655 0.024615 0.017931 0.020764 0.021559 0.021474   0.239498   0.292736   0.476527
0.024677 0.023701 0.018045 0.021208 0.019995 0.020994   0.253369   0.320805   0.540167
0.020289 0.022960 0.018965 0.019617 0.019087 0.021106   0.263802   0.356812   0.555070
0.022286 0.023113 0.018815 0.020879 0.019254 0.021643   0.298499   0.368571   0.577033
0.021172 0.023226 0.017380 0.020730 0.019463 0.022088   0.313082   0.415179   0.614378
0.022307 0.021581 0.017741 0.020486 0.019923 0.020633   0.311284   0.450849   0.673598
0.021358 0.024905 0.017583 0.020276 0.021191 0.021760   0.326860   0.480769   0.700588
0.021934 0.022261 0.018708 0.020979 0.019988 0.022664   0.383885   0.498404   0.719811
0.020723 0.022552 0.018055 0.019593 0.019989 0.020873   0.425846   0.546505   0.777368
0.021830 0.023477 0.019715 0.020456 0.020652 0.023666   0.450781   0.581750   0.813027
0.021834 0.023067 0.019695 0.019703 0.019832 0.022608   0.455910   0.603738   0.848711
0.020605 0.023378 0.018021 0.020887 0.020303 0.022485   0.499095   0.623100   0.937154
0.022311 0.023313 0.018680 0.019752 0.019883 0.023934   0.528988   0.659469   0.951795
0.022594 0.024399 0.019043 0.021612 0.020266 0.022312   0.585621   0.688314   1.033989
0.022917 0.026700 0.020063 0.021208 0.022077 0.023784   0.616997   0.730281   1.131175
0.024180 0.021966 0.018198 0.021391 0.019236 0.022370   0.664677   0.756922   1.146037
0.022961 0.024346 0.018984 0.021192 0.021754 0.022627   0.714318   0.813271   1.202882
0.023205 0.024503 0.017417 0.020778 0.020567 0.021418   0.762460   0.819109   1.220604
0.021822 0.024798 0.018398 0.020456 0.021340 0.021500   0.774605   0.839716   1.278524
0.021718 0.024406 0.018735 0.020845 0.020214 0.022398   0.830759   0.849938   1.352269
0.023561 0.022833 0.017798 0.020854 0.019315 0.021856   0.849360   0.853499   1.382042
