0.014144 0.017368 0.013172 0.014916 0.015321 0.016359   0.041923   0.039984   0.071684
0.015030 0.017530 0.013172 0.015597 0.015311 0.017124   0.048728   0.049610   0.090574
0.014204 0.017403 0.013563 0.015052 0.014876 0.017376   0.058328   0.050975   0.094321
0.014537 0.015806 0.013744 0.014989 0.013855 0.018058   0.061121   0.051550   0.098427
0.014652 0.017647 0.015222 0.015404 0.015804 0.018384   0.075806   0.060222   0.136893
0.013771 0.017145 0.014454 0.014244 0.014401 0.017846   0.077066   0.064423   0.146193
0.015808 0.017443 0.013230 0.015768 0.014434 0.017245   0.096337   0.073725   0.190875
0.015251 0.016693 0.014520 0.015479 0.014460 0.016980   0.118986   0.083799   0.218353
0.014968 0.016775 0.014344 0.014115 0.015385 0.017255   0.128595   0.094811   0.233642
0.015144 0.016855 0.014532 0.015890 0.014255 0.017704   0.162815   0.113740   0.317616
0.015334 0.017317 0.013523 0.014773 0.014891 0.017201   0.171462   0.117737   0.396690
0.014826 0.016893 0.013947 0.014631 0.014930 0.017717   0.187816   0.130789   0.421044
0.014776 0.017880 0.013996 0.015112 0.015166 0.017241   0.210039   0.150072   0.479132
0.014935 0.017033 0.012917 0.015561 0.014733 0.016329   0.220583   0.154234   0.519353
0.014674 0.016601 0.013710 0.015428 0.015219 0.016666   0.230843   0.156248   0.539791
0.014641 0.017952 0.013839 0.015464 0.014738 0.017194   0.242181   0.175576   0.566595
0.014248 0.017299 0.013414 0.014635 0.015431 0.016979   0.256830   0.188826   0.630960
0.014918 0.017678 0.013840 0.015128 0.014522 0.017411   0.281420   0.217571   0.679316
0.014192 0.017393 0.014012 0.013874 0.014542 0.017960   0.316343   0.252993   0.811386
0.014898 0.017698 0.013333 0.015858 0.015718 0.017585   0.343928   0.311959   0.827013
0.014534 0.017508 0.013744 0.015177 0.015125 0.017525   0.347841   0.321419   0.821071
0.014406 0.018358 0.014670 0.015495 0.015008 0.018032   0.392726   0.350005   0.884610
0.014533 0.016999 0.014708 0.015814 0.014838 0.018090   0.420343   0.376633   0.951035
0.014834 0.017483 0.013411 0.014938 0.015466 0.017005   0.464056   0.397667   0.996019
0.014531 0.016258 0.014416 0.014902 0.014508 0.017998   0.495327   0.394510   1.094937
0.015585 0.019365 0.014381 0.015885 0.015555 0.017194   0.536601   0.412179   1.209240
0.015169 0.018598 0.014265 0.014772 0.014953 0.017870   0.566438   0.448334   1.287064
0.014492 0.019167 0.014169 0.014618 0.016042 0.018154   0.607780   0.459525   1.382190
0.016056 0.018421 0.014735 0.015861 0.014944 0.017882   0.680204   0.496972   1.508091
0.014943 0.020184 0.014974 0.015616 0.015708 0.017941   0.681644   0.520931   1.535253
0.015206 0.017972 0.013912 0.015876 0.014692 0.017106   0.712251   0.565204   1.567002
0.015394 0.019863 0.013876 0.016736 0.016262 0.017958   0.744332   0.588142   1.651874
0.014826 0.017888 0.015368 0.015388 0.014348 0.017438   0.771784   0.614945   1.747140
0.015262 0.022092 0.015567 0.016370 0.017309 0.018633   0.793017   0.649825   1.795322
