0.027304 0.028599 0.022547 0.025453 0.024273 0.026058   0.090690   0.083981    0.117443
0.027511 0.031093 0.020989 0.026534 0.024583 0.026253   0.148911   0.135108    0.178178
0.027372 0.028383 0.021407 0.024486 0.024219 0.026149   0.175756   0.162209    0.284724
0.027320 0.030241 0.023573 0.026613 0.024897 0.027146   0.238215   0.228175    0.388335
0.027088 0.030040 0.022883 0.025604 0.025448 0.026809   0.306971   0.282100    0.548817
0.028885 0.031327 0.021189 0.026589 0.024498 0.025777   0.387338   0.361156    0.688909
0.028580 0.029543 0.021633 0.025098 0.024593 0.025756   0.514100   0.434197    0.823724
0.029971 0.034008 0.023401 0.025455 0.025229 0.027925   0.680628   0.567940    1.063637
0.029867 0.029731 0.022181 0.025991 0.025070 0.025905   0.803079   0.682103    1.317314
0.030736 0.031841 0.022811 0.027057 0.026327 0.027504   0.917534   0.857232    1.559139
0.031532 0.033818 0.023637 0.027753 0.025778 0.027387   1.007304   1.082431    1.765175
0.030562 0.030165 0.022196 0.026636 0.025626 0.026350   1.190218   1.223124    1.985620
0.028037 0.030278 0.022175 0.026930 0.026124 0.026001   1.357817   1.402515    2.148946
0.029802 0.035175 0.022800 0.026765 0.026797 0.026058   1.475079   1.532678    2.519074
0.030129 0.034776 0.023782 0.026361 0.026364 0.027424   1.631552   1.674467    2.792472
0.029957 0.033459 0.024812 0.028038 0.024643 0.028043   1.733946   1.829568    3.136150
0.029318 0.036247 0.022525 0.027407 0.025290 0.026589   1.885487   2.044433    3.288276
0.030111 0.033738 0.022739 0.027371 0.025557 0.027631   2.007996   2.248015    3.544872
0.027418 0.034399 0.023112 0.025250 0.024620 0.026287   2.166962   2.457401    3.897733
0.030571 0.034668 0.022904 0.026206 0.025363 0.026729   2.321339   2.600124    4.016701
0.029195 0.033906 0.023842 0.028354 0.024386 0.028546   2.398713   2.789008    4.305023
0.030368 0.036976 0.023340 0.027901 0.024720 0.028259   2.618309   2.903161    4.664277
0.028878 0.036409 0.021231 0.026307 0.024066 0.026667   2.803825   3.019854    4.924413
