# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 4.10926e-07 5.85938e-09
90 0.895 4.95546e-06 7.8125e-08
91 0.905 3.44498e-05 5.91797e-07
92 0.915 0.000250771 4.41406e-06
93 0.925 0.00134413 2.53516e-05
94 0.935 0.00565739 0.000115393
95 0.945 0.0191938 0.000427443
96 0.955 0.0545818 0.00133371
97 0.965 0.131794 0.00356806
98 0.975 0.273444 0.00830044
99 0.985 0.497377 0.0170858
100 0.995 0.800726 0.0315179
101 1.005 1.15287 0.0527168
102 1.015 1.50661 0.0809743
103 1.025 1.80175 0.115436
104 1.035 1.9951 0.154345
105 1.045 2.06608 0.19542
106 1.055 2.01872 0.236326
107 1.065 1.87832 0.275111
108 1.075 1.67831 0.310421
109 1.085 1.45237 0.341548
110 1.095 1.22859 0.368366
111 1.105 1.02296 0.391106
112 1.115 0.845404 0.41024
113 1.125 0.697587 0.426313
114 1.135 0.576935 0.439844
115 1.145 0.482343 0.451356
116 1.155 0.409035 0.46129
117 1.165 0.352925 0.470011
118 1.175 0.310395 0.477812
119 1.185 0.278492 0.484932
120 1.195 0.255503 0.491574
121 1.205 0.23946 0.497904
122 1.215 0.229292 0.504067
123 1.225 0.224038 0.510187
124 1.235 0.222569 0.516367
125 1.245 0.225231 0.522723
126 1.255 0.231562 0.529363
127 1.265 0.241351 0.536394
128 1.275 0.254196 0.543917
129 1.285 0.270476 0.552048
130 1.295 0.289969 0.560901
131 1.305 0.312771 0.570598
132 1.315 0.337767 0.581231
133 1.325 0.365079 0.5929
134 1.335 0.394264 0.605692
135 1.345 0.425106 0.619693
136 1.355 0.456646 0.634956
137 1.365 0.486994 0.651475
138 1.375 0.515713 0.669226
139 1.385 0.54147 0.688135
140 1.395 0.563197 0.708088
141 1.405 0.578323 0.728872
142 1.415 0.586974 0.750268
143 1.425 0.587399 0.771983
144 1.435 0.580974 0.793763
145 1.445 0.5655 0.815259
146 1.455 0.542728 0.836177
147 1.465 0.513476 0.85624
148 1.475 0.478693 0.8752
149 1.485 0.439989 0.892864
150 1.495 0.3983 0.90907
151 1.505 0.355149 0.923715
152 1.515 0.311806 0.936744
