0.013993 0.015762 0.012353 0.014291 0.014316 0.016245  0.045779  0.045622   0.063638
0.014736 0.016523 0.013905 0.015301 0.013436 0.016842  0.050786  0.046386   0.069841
0.014502 0.018203 0.013566 0.014333 0.015920 0.016379  0.050492  0.050357   0.073138
0.014137 0.016056 0.014065 0.014986 0.014203 0.016998  0.044034  0.042690   0.062425
0.015253 0.016458 0.014114 0.014605 0.014795 0.016623  0.048711  0.046172   0.070508
0.015497 0.016988 0.012688 0.015914 0.014621 0.015832  0.049976  0.047405   0.070667
0.014025 0.016246 0.013414 0.014771 0.014146 0.016244  0.052954  0.049973   0.073357
0.014088 0.016555 0.013021 0.014597 0.014664 0.015793  0.055296  0.055888   0.080623
0.014947 0.016764 0.012974 0.015187 0.014025 0.015907  0.056106  0.074480   0.088761
0.016027 0.016913 0.012346 0.016259 0.014929 0.015801  0.064791  0.076874   0.110050
0.014945 0.015393 0.012121 0.015447 0.014105 0.015529  0.063729  0.076239   0.129985
0.014470 0.017659 0.012924 0.014103 0.015013 0.016279  0.074009  0.092229   0.116117
0.014752 0.015839 0.013047 0.014875 0.013857 0.016057  0.079076  0.091719   0.138987
0.014702 0.016919 0.013402 0.014962 0.014176 0.016453  0.078230  0.098356   0.164313
0.015137 0.015474 0.013448 0.014563 0.013429 0.016630  0.090917  0.104866   0.153345
0.014734 0.016016 0.013125 0.015214 0.013883 0.016568  0.116449  0.114576   0.186470
0.014400 0.017016 0.012851 0.015120 0.015028 0.016051  0.103353  0.122892   0.193087
0.014450 0.016117 0.012621 0.014107 0.014139 0.016308  0.100571  0.123515   0.216595
0.013241 0.017259 0.013239 0.013710 0.014634 0.016252  0.110029  0.129444   0.229656
0.014773 0.015528 0.012898 0.014991 0.013657 0.016061  0.107416  0.141765   0.239696
0.014423 0.016613 0.013335 0.014040 0.013306 0.016315  0.113135  0.154177   0.271937
0.014134 0.016224 0.013120 0.014760 0.014098 0.016305  0.121727  0.159489   0.291694
0.014591 0.016927 0.012104 0.014697 0.014370 0.015918  0.147105  0.160701   0.342400
0.014068 0.016614 0.013540 0.014047 0.015120 0.016534  0.141490  0.160991   0.354520
0.015062 0.016786 0.012533 0.015875 0.014048 0.015918  0.157066  0.168641   0.373169
0.014204 0.015684 0.013483 0.014207 0.014350 0.016276  0.169820  0.180050   0.405540
0.014433 0.016792 0.013440 0.014722 0.014533 0.017049  0.186754  0.204229   0.438432
0.014467 0.016726 0.013286 0.014973 0.014683 0.016080  0.208290  0.196094   0.449154
0.013641 0.015550 0.011993 0.014915 0.014456 0.015270  0.227394  0.199063   0.454378
0.014150 0.017044 0.012638 0.014759 0.015072 0.015965  0.240873  0.217884   0.498403
0.014142 0.015590 0.013012 0.014780 0.014021 0.016044  0.247718  0.230015   0.502933
0.013736 0.017244 0.012359 0.014278 0.015103 0.016278  0.250420  0.239403   0.536422
