# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
224 2.235 0.82978 4.44172
225 2.245 0.937941 4.53523
226 2.255 1.04575 4.64042
227 2.265 1.15163 4.75729
228 2.275 1.25532 4.88582
229 2.285 1.35696 5.02597
230 2.295 1.45562 5.17762
231 2.305 1.55322 5.34087
232 2.315 1.65028 5.51582
233 2.325 1.74568 5.70248
234 2.335 1.83635 5.90053
235 2.345 1.91886 6.10926
236 2.355 1.98552 6.32709
237 2.365 2.0298 6.55167
238 2.375 2.04739 6.78011
239 2.385 2.03459 7.00905
240 2.395 1.9921 7.23508
241 2.405 1.92574 7.45542
242 2.415 1.84231 7.66796
243 2.425 1.75071 7.87161
244 2.435 1.65872 8.06616
245 2.445 1.57271 8.25214
246 2.455 1.4982 8.43076
247 2.465 1.43568 8.60332
248 2.475 1.3855 8.7712
249 2.485 1.34603 8.93563
250 2.495 1.31646 9.09773
251 2.505 1.29613 9.25862
252 2.515 1.28756 9.41972
253 2.525 1.29368 9.58288
254 2.535 1.31886 9.75053
255 2.545 1.36599 9.92554
256 2.555 1.43882 10.1113
257 2.565 1.53473 10.3111
258 2.575 1.64893 10.5274
259 2.585 1.77364 10.7618
260 2.595 1.89714 11.0145
261 2.605 2.00895 11.2842
262 2.615 2.09786 11.568
263 2.625 2.1558 11.8618
264 2.635 2.17895 12.1611
265 2.645 2.16641 12.4609
266 2.655 2.11933 12.7564
267 2.665 2.04596 13.0438
268 2.675 1.95193 13.3201
269 2.685 1.84709 13.5835
270 2.695 1.73668 13.8331
271 2.705 1.62709 14.0686
272 2.715 1.52036 14.2902
273 2.725 1.41711 14.4984
274 2.735 1.3163 14.6932
275 2.745 1.2165 14.8745
276 2.755 1.11589 15.042
277 2.765 1.01491 15.1955
278 2.775 0.911968 15.3344
279 2.785 0.810003 15.4587
280 2.795 0.711743 15.5687
281 2.805 0.620078 15.6652
282 2.815 0.538086 15.7496
283 2.825 0.467746 15.8234
284 2.835 0.410864 15.8887
285 2.845 0.368535 15.9477
286 2.855 0.340158 16.0026
287 2.865 0.324883 16.0553
288 2.875 0.321103 16.1078
289 2.885 0.327292 16.1617
290 2.895 0.341754 16.2184
291 2.905 0.362303 16.2789
292 2.915 0.387583 16.344
293 2.925 0.415551 16.4143
294 2.935 0.445287 16.4902
295 2.945 0.475079 16.5717
296 2.955 0.504855 16.6589
297 2.965 0.533876 16.7518
298 2.975 0.561381 16.85
299 2.985 0.588022 16.9537
300 2.995 0.613329 17.0625
301 3.005 0.637994 17.1765
302 3.015 0.662036 17.2955
303 3.025 0.686062 17.4197
304 3.035 0.709444 17.549
305 3.045 0.732357 17.6833
306 3.055 0.754042 17.8225
307 3.065 0.773324 17.9662
308 3.075 0.789299 18.1138
309 3.085 0.799756 18.2644
310 3.095 0.804638 18.4169
311 3.105 0.802878 18.57
312 3.115 0.793672 18.7223
313 3.125 0.776985 18.8724
314 3.135 0.75517 19.0192
315 3.145 0.729582 19.162
316 3.155 0.702252 19.3003
317 3.165 0.677428 19.4345
318 3.175 0.65828 19.5658
319 3.185 0.648528 19.6959
320 3.195 0.651798 19.8275
321 3.205 0.671708 19.964
322 3.215 0.711022 20.1094
323 3.225 0.773257 20.2685
324 3.235 0.858891 20.4463
325 3.245 0.967443 20.6478
326 3.255 1.09793 20.8779
327 3.265 1.24689 21.1408
328 3.275 1.40888 21.4398
329 3.285 1.577 21.7764
330 3.295 1.74464 22.1511
331 3.305 1.90283 22.5622
332 3.315 2.04367 23.0065
333 3.325 2.15863 23.4786
334 3.335 2.24164 23.9717
335 3.345 2.2911 24.4788
336 3.355 2.30396 24.9918
337 3.365 2.28255 25.5031
338 3.375 2.23034 26.0056
339 3.385 2.15233 26.4935
340 3.395 2.05415 26.9618
341 3.405 1.94401 27.4077
342 3.415 1.82893 27.8296
343 3.425 1.71354 28.2272
344 3.435 1.60357 28.6015
345 3.445 1.50154 28.954
346 3.455 1.41026 29.287
347 3.465 1.32899 29.6026
348 3.475 1.25847 29.9032
349 3.485 1.19768 30.191
350 3.495 1.14654 30.468
351 3.505 1.10333 30.7361
352 3.515 1.06674 30.9969
353 3.525 1.03571 31.2514
354 3.535 1.01018 31.5011
355 3.545 0.988697 31.7469
356 3.555 0.971149 31.9897
357 3.565 0.957074 32.2303
358 3.575 0.945153 32.4693
359 3.585 0.935992 32.7072
360 3.595 0.928454 32.9446
361 3.605 0.922644 33.1818
362 3.615 0.918221 33.4191
363 3.625 0.915709 33.6572
364 3.635 0.91479 33.8963
365 3.645 0.915694 34.1369
366 3.655 0.917908 34.3795
367 3.665 0.920126 34.624
368 3.675 0.921132 34.8701
369 3.685 0.919202 35.117
370 3.695 0.912124 35.3633
371 3.705 0.898 35.6072
372 3.715 0.875383 35.8461
373 3.725 0.843456 36.0777
374 3.735 0.802437 36.2991
375 3.745 0.753864 36.5082
376 3.755 0.698556 36.7031
377 3.765 0.639537 36.8824
378 3.775 0.579285 37.0457
379 3.785 0.519834 37.193
380 3.795 0.463135 37.325
381 3.805 0.410625 37.4426
382 3.815 0.363362 37.5472
383 3.825 0.321484 37.6402
384 3.835 0.285489 37.7233
385 3.845 0.255387 37.798
386 3.855 0.230876 37.8658
387 3.865 0.212193 37.9285
388 3.875 0.199307 37.9877
389 3.885 0.191631 38.0449
390 3.895 0.189728 38.1019
391 3.905 0.193296 38.1602
392 3.915 0.20231 38.2215
393 3.925 0.216325 38.2874
394 3.935 0.235438 38.3596
395 3.945 0.259044 38.4393
396 3.955 0.287136 38.5282
397 3.965 0.318965 38.6274
398 3.975 0.354361 38.7381
399 3.985 0.392679 38.8615
400 3.995 0.432766 38.9981
401 4.005 0.473906 39.1485
402 4.015 0.51492 39.3127
403 4.025 0.555273 39.4906
404 4.035 0.593776 39.6818
405 4.045 0.630113 39.8858
406 4.055 0.663503 40.1016
407 4.065 0.694772 40.3287
408 4.075 0.724113 40.5665
409 4.085 0.751835 40.8147
410 4.095 0.779434 41.0733
