# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 0 0
90 0.895 0 0
91 0.905 8.33441e-07 1.36719e-08
92 0.915 7.92029e-06 1.46484e-07
93 0.925 5.40218e-05 1.07227e-06
94 0.935 0.00028299 6.02734e-06
95 0.945 0.00117256 2.7e-05
96 0.955 0.00398606 9.98125e-05
97 0.965 0.0115096 0.000314482
98 0.975 0.0287966 0.000862766
99 0.985 0.0631784 0.00209048
100 0.995 0.122674 0.00452298
101 1.005 0.213644 0.00884491
102 1.015 0.338544 0.0158305
103 1.025 0.492279 0.0261894
104 1.035 0.664724 0.0404513
105 1.045 0.840928 0.058844
106 1.055 1.005 0.081248
107 1.065 1.14631 0.107289
108 1.075 1.25766 0.136398
109 1.085 1.33699 0.167922
110 1.095 1.38451 0.201171
111 1.105 1.40611 0.235559
112 1.115 1.40658 0.270583
113 1.125 1.39117 0.305847
114 1.135 1.36569 0.341085
115 1.145 1.33266 0.376078
116 1.155 1.29697 0.410731
117 1.165 1.2586 0.444944
118 1.175 1.21926 0.47866
119 1.185 1.1796 0.511836
120 1.195 1.14003 0.544442
121 1.205 1.10117 0.576467
122 1.215 1.06151 0.607852
123 1.225 1.02137 0.63855
124 1.235 0.980482 0.668502
125 1.245 0.940053 0.697686
126 1.255 0.897167 0.725988
127 1.265 0.853878 0.753356
128 1.275 0.808245 0.779671
129 1.285 0.760251 0.804814
130 1.295 0.709152 0.828634
131 1.305 0.656599 0.85103
132 1.315 0.602095 0.871883
133 1.325 0.545206 0.891054
134 1.335 0.488311 0.908485
135 1.345 0.43089 0.924097
136 1.355 0.374547 0.93787
137 1.365 0.321123 0.949854
138 1.375 0.270872 0.960111
139 1.385 0.224702 0.968744
140 1.395 0.183417 0.975893
141 1.405 0.147237 0.981714
142 1.415 0.11558 0.986349
143 1.425 0.0892684 0.98998
144 1.435 0.0675964 0.992768
145 1.445 0.0502154 0.994868
146 1.455 0.0365782 0.996419
147 1.465 0.0261704 0.997544
148 1.475 0.0183029 0.998341
149 1.485 0.0125494 0.998896
150 1.495 0.00851541 0.999277
151 1.505 0.00570061 0.999535
152 1.515 0.0037019 0.999706
