# Time-averaged data for fix rdf_all
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
1000000 500
1 0.005 0 0
2 0.015 0 0
3 0.025 0 0
4 0.035 0 0
5 0.045 0 0
6 0.055 0 0
7 0.065 0 0
8 0.075 0 0
9 0.085 0 0
10 0.095 0 0
11 0.105 0 0
12 0.115 0 0
13 0.125 0 0
14 0.135 0 0
15 0.145 0 0
16 0.155 0 0
17 0.165 0 0
18 0.175 0 0
19 0.185 0 0
20 0.195 0 0
21 0.205 0 0
22 0.215 0 0
23 0.225 0 0
24 0.235 0 0
25 0.245 0 0
26 0.255 0 0
27 0.265 0 0
28 0.275 0 0
29 0.285 0 0
30 0.295 0 0
31 0.305 0 0
32 0.315 0 0
33 0.325 0 0
34 0.335 0 0
35 0.345 0 0
36 0.355 0 0
37 0.365 0 0
38 0.375 0 0
39 0.385 0 0
40 0.395 0 0
41 0.405 0 0
42 0.415 0 0
43 0.425 0 0
44 0.435 0 0
45 0.445 0 0
46 0.455 0 0
47 0.465 0 0
48 0.475 0 0
49 0.485 0 0
50 0.495 0 0
51 0.505 0 0
52 0.515 0 0
53 0.525 0 0
54 0.535 0 0
55 0.545 0 0
56 0.555 0 0
57 0.565 0 0
58 0.575 0 0
59 0.585 0 0
60 0.595 0 0
61 0.605 0 0
62 0.615 0 0
63 0.625 0 0
64 0.635 0 0
65 0.645 0 0
66 0.655 0 0
67 0.665 0 0
68 0.675 0 0
69 0.685 0 0
70 0.695 0 0
71 0.705 0 0
72 0.715 0 0
73 0.725 0 0
74 0.735 0 0
75 0.745 0 0
76 0.755 0 0
77 0.765 0 0
78 0.775 0 0
79 0.785 0 0
80 0.795 0 0
81 0.805 0 0
82 0.815 0 0
83 0.825 0 0
84 0.835 0 0
85 0.845 0 0
86 0.855 0 0
87 0.865 0 0
88 0.875 0 0
89 0.885 0 0
90 0.895 1.27549e-07 1.95312e-09
91 0.905 3.36813e-06 5.46875e-08
92 0.915 3.2583e-05 5.76172e-07
93 0.925 0.000166934 3.30664e-06
94 0.935 0.000799734 1.66719e-05
95 0.945 0.00295254 6.70762e-05
96 0.955 0.00950265 0.000232752
97 0.965 0.0260344 0.000696209
98 0.975 0.0611139 0.00180681
99 0.985 0.126006 0.00414387
100 0.995 0.231041 0.0085165
101 1.005 0.379006 0.0158344
102 1.015 0.565021 0.026962
103 1.025 0.772531 0.0424777
104 1.035 0.979675 0.0625395
105 1.045 1.16289 0.0868155
106 1.055 1.3053 0.114589
107 1.065 1.39723 0.144884
108 1.075 1.43987 0.176692
109 1.085 1.43646 0.209019
110 1.095 1.40042 0.241118
111 1.105 1.34101 0.272419
112 1.115 1.26798 0.302554
113 1.125 1.19152 0.331382
114 1.135 1.11623 0.358871
115 1.145 1.04498 0.38506
116 1.155 0.981985 0.410103
117 1.165 0.926463 0.43414
118 1.175 0.87953 0.457353
119 1.185 0.839235 0.479881
120 1.195 0.806589 0.5019
121 1.205 0.779505 0.523537
122 1.215 0.757878 0.544924
123 1.225 0.740598 0.56617
124 1.235 0.727677 0.587386
125 1.245 0.717812 0.608656
126 1.255 0.709556 0.63002
127 1.265 0.703201 0.651531
128 1.275 0.697701 0.673213
129 1.285 0.692836 0.695082
130 1.295 0.68561 0.717062
131 1.305 0.677492 0.739118
132 1.315 0.665088 0.761104
133 1.325 0.648128 0.782856
134 1.335 0.628545 0.80427
135 1.345 0.602976 0.825122
136 1.355 0.573103 0.845237
137 1.365 0.539174 0.864441
138 1.375 0.501325 0.88256
139 1.385 0.460231 0.899437
140 1.395 0.416613 0.914935
141 1.405 0.371231 0.928944
142 1.415 0.325861 0.941416
143 1.425 0.281452 0.952342
144 1.435 0.239322 0.961763
145 1.445 0.200088 0.969749
146 1.455 0.164327 0.9764
147 1.465 0.132661 0.981842
148 1.475 0.105354 0.986224
149 1.485 0.0824628 0.9897
150 1.495 0.0634244 0.99241
151 1.505 0.0479757 0.994487
152 1.515 0.0356566 0.996052
